"Country","Issuer","Currency","Face value","Reference","N# number (with link)","Title","Type","Year range","Shape","Composition","Weight","Diameter","Year","Gregorian year","Mintmark","Comment","Quantity","For exchange","Grade","Collection","Buying price (GBP)","Estimate (GBP)","Private comment","Public comment"
"Ireland","Ireland","Pound (997-1826)","0.002083333333333","Sp# 6624","N# 15932","½ Penny - George IV","Standard circulation coin","1822-1823","Round","Copper","8.4","26.9","1822","1822","","","1","","","","0.25","","Norwich G August 20",""
"Ireland","Ireland","Pound (997-1826)","0.004166666666667","Sp# 6623","N# 13576","1 Penny - George IV","Standard circulation coin","1822-1823","Round","Copper","16.5","34","1822","1822","","","1","","","","2.5","","Ebay May 19","IRE-03 a"
"Ireland","Ireland","Pound (997-1826)","0.125","Sp# 6580","N# 16087","30 Pence - James II (Gun Money Small Coinage)","Standard circulation coin","1690","Round","Brass","10.6","28.69","1690","1690","","May","1","","","","","","Burford","IRE-04 a"
"Ireland","Ireland","Pound (1826-1971)","0.001041666666667","KM# 9","N# 4574","1 Feoirling","Standard circulation coin","1939-1966","Round","Bronze","2.83","20.3","1953","1953","","","1","","","","5.56","","Ebay June 19","IRE-05 a"
"Ireland","Ireland","Pound (1826-1971)","0.002083333333333","KM# 2","N# 4573","½ Pingin","Standard circulation coin","1928-1937","Round","Bronze","5.67","25.5","1928","1928","","","1","","","","0.1","","Norwich E November 19",""
"Ireland","Ireland","Pound (1826-1971)","0.002083333333333","KM# 10","N# 4313","½ Pingin","Standard circulation coin","1939-1967","Round","Bronze","5.67","25.5","1967","1967","","","1","","","","","","Bath C May 19","IRE-06 a"
"Ireland","Ireland","Pound (1826-1971)","0.004166666666667","KM# 3","N# 4321","1 Pingin","Standard circulation coin","1928-1937","Round","Bronze","9.45","30.74","1928","1928","","","1","","","","0.01","","Norwich D January 20",""
"Ireland","Ireland","Pound (1826-1971)","0.004166666666667","KM# 3","N# 4321","1 Pingin","Standard circulation coin","1928-1937","Round","Bronze","9.45","30.74","1931","1931","","Proof","1","","","","0.01","","Norwich D January 20",""
"Ireland","Ireland","Pound (1826-1971)","0.004166666666667","KM# 3","N# 4321","1 Pingin","Standard circulation coin","1928-1937","Round","Bronze","9.45","30.74","1933","1933","","","1","","","","0.5","","Norwich M November 19",""
"Ireland","Ireland","Pound (1826-1971)","0.004166666666667","KM# 3","N# 4321","1 Pingin","Standard circulation coin","1928-1937","Round","Bronze","9.45","30.74","1935","1935","","","1","","","","0.06","","Ebay December 19","x"
"Ireland","Ireland","Pound (1826-1971)","0.004166666666667","KM# 11","N# 1406","1 Pingin","Standard circulation coin","1938-1968","Round","Bronze","9.45","30.9","1946","1946","","","1","","","","0.25","","Norwich D January 20",""
"Ireland","Ireland","Pound (1826-1971)","0.004166666666667","KM# 11","N# 1406","1 Pingin","Standard circulation coin","1938-1968","Round","Bronze","9.45","30.9","1948","1948","","","1","","","","0.01","","Norwich D January 20",""
"Ireland","Ireland","Pound (1826-1971)","0.004166666666667","KM# 11","N# 1406","1 Pingin","Standard circulation coin","1938-1968","Round","Bronze","9.45","30.9","1966","1966","","","1","","","","","","Bath C May 19","IRE-07 a"
"Ireland","Ireland","Pound (1826-1971)","0.0125","KM# 4","N# 4571","3 Pingin / ½ Reul","Standard circulation coin","1928-1935","Round","Nickel","3.24","17.5","1928","1928","","","1","","","","0.01","","Norwich D January 20",""
"Ireland","Ireland","Pound (1826-1971)","0.0125","KM# 12a","N# 968","3 Pingin / ½ Reul","Standard circulation coin","1942-1968","Round","Copper-nickel","3.24","17.7","1953","1953","","","1","","","","1","","Hay-on-Wye June 19","IRE-08 a"
"Ireland","Ireland","Pound (1826-1971)","0.025","KM# 13a","N# 963","6 Pingin / 1 Reul","Standard circulation coin","1942-1969","Round","Copper-nickel","4.54","20.8","1960","1960","","","1","","","","2.79","","Ebay July 19","IRE-16 a"
"Ireland","Ireland","Pound (1826-1971)","0.05","KM# 14a","N# 10968","1 Scilling","Standard circulation coin","1951-1968","Round","Copper-nickel","5.66","23.6","1954","1954","","","1","","","","1.49","","Ebay July 19","IRE-17 a"
"Ireland","Ireland","Pound (1826-1971)","0.1","KM# 15a","N# 1401","1 Flóirin / 2 Scilling","Standard circulation coin","1951-1968","Round","Copper-nickel","11.3","28.6","1962","1962","","","1","","","","","","Bath C May 19","IRE-09 a"
"Ireland","Ireland","Pound (1826-1971)","0.125","KM# 16a","N# 5188","½ Coróin / 2 Scilling 6 Pingin","Standard circulation coin","1951-1967","Round","Copper-nickel","14.14","32.3","1962","1962","","","1","","","","2","","Hay-on-Wye June 19","IRE-10 a"
"Ireland","Ireland","Pound (decimalized, 1971-2001)","0.005","KM# 19","N# 3284","½ Penny","Standard circulation coin","1971-1986","Round","Bronze","1.78","17.14","1971","1971","","","1","","","","0.25","","Norwich April 19","IRE-11 a"
"Ireland","Ireland","Pound (decimalized, 1971-2001)","0.01","KM# 20","N# 1002","1 Penny (non-magnetic)","Standard circulation coin","1971-1988","Round","Bronze","3.56","20.32","1971","1971","","","1","","","","0.25","","Norwich April 19","IRE-12 a"
"Ireland","Ireland","Pound (decimalized, 1971-2001)","0.02","KM# 21","N# 952","2 Pence (non-magnetic)","Standard circulation coin","1971-1988","Round","Bronze","7.1","25.9","1971","1971","","","1","","","","0.25","","Norwich April 19","IRE-13 a"
"Ireland","Ireland","Pound (decimalized, 1971-2001)","0.05","KM# 28","N# 1404","5 Pence (small type)","Standard circulation coin","1992-2000","Round","Copper-nickel","3.25","18.5","1996","1996","","","1","","","","0.34","","Oxford June 19","IRE-14 a"
"Ireland","Ireland","Pound (decimalized, 1971-2001)","0.1","KM# 23","N# 1360","10 Pence (large type)","Standard circulation coin","1969-1986","Round","Copper-nickel","11.31","28.5","1974","1974","","","1","","","","0.06","","Ebay December 19",""
"Ireland","Ireland","Pound (decimalized, 1971-2001)","0.1","KM# 29","N# 1457","10 Pence (small type)","Standard circulation coin","1993-2000","Round","Copper-nickel","5.45","22","1995","1995","","","1","","","","0.34","","Oxford June 19","IRE-15 a"
"Ireland","Ireland","Pound (decimalized, 1971-2001)","0.2","KM# 25","N# 1403","20 Pence","Standard circulation coin","1985-2000","Round","Nickel brass","8.47","27.1","1992","1992","","","1","","","","0.25","","Norwich November 19","IRE-21"
"Isle of Man","Isle of Man","Pound (1839-1971)","0.002083333333333","KM# Tn3","N# 17882","½ Penny (Bank Token Coinage)","Token","1811","Round","Copper","6.7","25","1811","1811","","","1","","","","0.1","","Norwich E December 19",""
"Isle of Man","Isle of Man","Pound (1839-1971)","0.002083333333333","KM# Tn16","N# 43112","½ Penny - George III","Token","1830","Round","Copper","","","1830","1830","","","1","","","","0.1","","Norwich E December 19",""
"Isle of Man","Isle of Man","Pound (decimalized, 1971-date)","0.02","KM# 34","N# 9857","2 Pence - Elizabeth II (Shearwater)","Standard circulation coin","1976-1979","Round","Bronze","7.12","25.91","1976","1976","PM","","1","","","","0.1","","Norwich E January 19",""
"Isle of Man","Isle of Man","Pound (decimalized, 1971-date)","0.02","KM# 60","N# 9856","2 Pence - Elizabeth II (Red - Billed Chough)","Standard circulation coin","1980-1983","Round","Bronze","7.12","25.91","1980","1980","PM","AA die letters","1","","","","0.1","","Norwich E January 19",""
"Israel","British Palestine","Pound (1927-1948)","0.001","KM# 1","N# 5483","1 Mil","Standard circulation coin","1927-1947","Round","Bronze","3.23","21","1927","1927","","","1","","","","","","Cape Town 18 B","BPL-01 a"
"Israel","British Palestine","Pound (1927-1948)","0.001","KM# 1","N# 5483","1 Mil","Standard circulation coin","1927-1947","Round","Bronze","3.23","21","1944","1944","","","1","","","","","","Cape Town 18 B","BPL-02 a"
"Israel","British Palestine","Pound (1927-1948)","0.002","KM# 2","N# 6641","2 Mils","Standard circulation coin","1927-1947","Round","Bronze","7.8","28","1927","1927","","","1","","","","","","Cape Town 18 B","BPL-03 a"
"Israel","British Palestine","Pound (1927-1948)","0.002","KM# 2","N# 6641","2 Mils","Standard circulation coin","1927-1947","Round","Bronze","7.8","28","1942","1942","","","1","","","","0.99","","Ebay December 19","x"
"Israel","British Palestine","Pound (1927-1948)","0.002","KM# 2","N# 6641","2 Mils","Standard circulation coin","1927-1947","Round","Bronze","7.8","28","1942","1942","","","1","","","","0.35","","Ebay December 19","x"
"Israel","British Palestine","Pound (1927-1948)","0.005","KM# 3","N# 5654","5 Mils","Standard circulation coin","1927-1947","Round with a hole","Copper-nickel","2.91","19.91","1935","1935","","","1","","","","2","","Ebay December 19",""
"Israel","British Palestine","Pound (1927-1948)","0.01","KM# 4","N# 5591","10 Mils","Standard circulation coin","1927-1947","Round with a hole","Copper-nickel","6.5","27","1937","1937","","","1","","","","2.99","","Ebay December 19",""
"Israel","British Palestine","Pound (1927-1948)","0.05","KM# 6","N# 8550","50 Mils","Standard circulation coin","1927-1942","Round","Silver (.720)","5.83","23.5","1935","1935","","","1","","","","1","","Norwich September 19","BPL-04 a"
"Israel","British Palestine","Pound (1927-1948)","0.1","KM# 7","N# 7298","100 Mils","Standard circulation coin","1927-1942","Round","Silver (.720)","11.7","28.5","1927","1927","","","1","","","","10.49","","Ebay November 19",""
"Israel","Israel","Pound (1949-1960)","0.005","KM# 10","N# 2041","5 Pruta","Standard circulation coin","1949","Round","Bronze","3.2","20","5709","1949","•","תש'ט (With pearl)","1","","","","0.5","","Norwich A January 20",""
"Israel","Israel","Pound (1949-1960)","0.01","KM# 11","N# 2054","10 Pruta","Standard circulation coin","1949","Round","Bronze","6.1","27","5709","1949","","תש׳ט (Without pearl; Struck at Heaton (Birmingham))","1","","","","1","","Ebay July 19","ISR-01 a"
"Israel","Israel","Pound (1949-1960)","0.01","KM# 11","N# 2054","10 Pruta","Standard circulation coin","1949","Round","Bronze","6.1","27","5709","1949","•","תש׳ט (With pearl; Struck at Imperial Chemical Industries (Great Britain))","1","","","","0.5","","Norwich A January 20",""
"Israel","Israel","Pound (1949-1960)","0.01","KM# 17","N# 2043","10 Pruta","Standard circulation coin","1952","Scalloped (with 12 notches)","Aluminium","1.6","24.5","5712","1952","","תשי׳ב","1","","","","0.25","","Norwich G March 20",""
"Israel","Israel","Pound (1949-1960)","0.05","KM# 13.1","N# 2033","50 Pruta","Standard circulation coin","1949-1954","Round","Copper-nickel","5.69","23.5","5709","1949","","תש'ט; Without pearl; Heaton's Mint","1","","","","0.25","","Norwich G March 20",""
"Israel","Israel","Pound (1949-1960)","0.1","KM# 14","N# 2049","100 Pruta","Standard circulation coin","1949-1955","Round","Copper-nickel","11.3","28.5","5709","1949","","תש""ט; Heaton's and King Norton","1","","","","0.25","","Norwich G March 20",""
"Israel","Israel","Pound (1949-1960)","0.25","KM# 15","N# 2048","250 Pruta","Standard circulation coin","1949","Round","Copper-nickel","14.1","32.2","5709","1949","•","תש׳ט (With pearl; Struck at Imperial Chemical Industries (Great Britain))","1","","","","0.25","","Norwich G March 20",""
"Israel","Israel","Pound (1960-1980)","0.01","KM# 24.1","N# 977","1 Agora","Standard circulation coin","1960-1980","Scalloped (with 12 notches)","Aluminium","1.03","20.2","5730","1970","","תש׳׳ל; Jerusalem","1","","","","0.1","","Ebay December 19","x"
"Israel","Israel","Pound (1960-1980)","0.05","KM# 25","N# 1719","5 Agorot","Standard circulation coin","1960-1975","Round","Aluminium-bronze","2.3","17.5","5722","1962","","תשכ״ב (Small date); Tel Aviv","1","","","","0.04","","Ebay B January 20",""
"Israel","Israel","Pound (1960-1980)","0.1","KM# 26","N# 1231","10 Agorot","Standard circulation coin","1960-1977","Round","Aluminium-bronze","4.34","21.5","5730","1970","","תש""ל; Jerusalem","1","","","","0.06","","Ebay August 19","ISR-02 a"
"Israel","Israel","Pound (1960-1980)","1","KM# 47.1","N# 1726","1 Lira","Standard circulation coin","1967-1980","Round","Copper-nickel","9","27.5","5731","1971","","תשל""א; Jerusalem","1","","","","0.06","","Ebay December 19","x"
"Israel","Israel","Pound (1960-1980)","1","KM# 47.1","N# 1726","1 Lira","Standard circulation coin","1967-1980","Round","Copper-nickel","9","27.5","5733","1973","","תשל""ג; Jerusalem and Bern","1","","","","0.01","","Norwich D January 20",""
"Israel","Israel","Pound (1960-1980)","1","KM# 47.1","N# 1726","1 Lira","Standard circulation coin","1967-1980","Round","Copper-nickel","9","27.5","5734","1974","","תשל""ד: Jerusalem and Ottawa","1","","","","0.04","","Ebay B January 20",""
"Israel","Israel","Old Shekel (1980-1985)","0.1","KM# 108","N# 1727","10 New Agorot","Standard circulation coin","1980-1985","Round","Copper-nickel (Copper 92%, nickel 8%)","2.1","16","5741","1981","","תשמ׳׳א (Stuttgart 123,000,000  Jerusalem 2,160,000  Paris 90,000,000); see comments","1","","","","0.04","","Ebay B January 20",""
"Israel","Israel","Old Shekel (1980-1985)","0.5","KM# 109","N# 1721","½ Sheqel","Standard circulation coin","1980-1985","Round","Copper-nickel","3","20","5740","1980","","תש׳׳ם; Bern","1","","","","0.25","","Norwich G March 20",""
"Israel","Israel","Old Shekel (1980-1985)","10","KM# 119","N# 921","10 Sheqalim","Standard circulation coin","1982-1985","Round","Copper-nickel","8","26","5742","1982","","התשמ׳׳ב; Jerusalem and Stuttgart","1","","","","0.1","","Norwich E January 20",""
"Israel","Israel","Old Shekel (1980-1985)","100","KM# 143","N# 2060","100 Sheqalim","Standard circulation coin","1984-1985","Round","Copper-nickel","10.8","29","5744","1984","","התשמ׳׳ד; Jerusalem and Canberra","1","","","","0.1","","Norwich E January 20",""
"Israel","Israel","New Shekel (1986-date)","0.1","KM# 158","N# 1715","10 Agorot","Standard circulation coin","1984-2017","Round","Copper-aluminium-nickel (92% Copper, 6% Aluminium, 2% Nickel)","4","22","5775","2015","","התשע""ה Daejeon mint (smooth numeral outlines; round inside of 0, more space between 1 and 0, thick letters)","1","","","","0.06","","Ebay December 19","x"
"Italy","Italy","Lira (1861-2001)","0.01","KM# 35","N# 7192","1 Centesimo - Vittorio Emanuele III","Standard circulation coin","1902-1908","Round","Copper","1","15","1904","1904","R","overdate variety exists","1","","","","0.1","","Norwich E February 22",""
"Italy","Italy","Lira (1861-2001)","0.02","KM# 2","N# 4250","2 Centesimi - Vittorio Emanuele II","Standard circulation coin","1861-1867","Round","Bronze (Cu 96%, Sn 4%)","2","20","1867","1867","M","KM#2.1","1","","","","0.1","","Norwich E December 19",""
"Italy","Italy","Lira (1861-2001)","0.05","KM# 3","N# 729","5 Centesimi - Vittorio Emanuele II","Standard circulation coin","1861-1867","Round","Bronze (Cu 96%, Sn 4%)","4.87","25","1861","1861","M","KM#3.2","1","","","","","","Ebay July 19","ITA-01 a"
"Italy","Italy","Lira (1861-2001)","0.05","KM# 3","N# 729","5 Centesimi - Vittorio Emanuele II","Standard circulation coin","1861-1867","Round","Bronze (Cu 96%, Sn 4%)","4.87","25","1862","1862","N","KM#3.3","1","","","","0.25","","Norwich G August 20",""
"Italy","Italy","Lira (1861-2001)","0.05","KM# 3","N# 729","5 Centesimi - Vittorio Emanuele II","Standard circulation coin","1861-1867","Round","Bronze (Cu 96%, Sn 4%)","4.87","25","1862","1862","N","KM#3.3","1","","","","0.1","","Norwich E February 22",""
"Italy","Italy","Lira (1861-2001)","0.05","KM# 59","N# 1277","5 Centesimi - Vittorio Emanuele III","Standard circulation coin","1919-1937","Round","Copper","3.25","19.5","1923","1923","R","","1","","","","0.49","","Ebay July 19","ITL-06 a"
"Italy","Italy","Lira (1861-2001)","0.05","KM# 59","N# 1277","5 Centesimi - Vittorio Emanuele III","Standard circulation coin","1919-1937","Round","Copper","3.25","19.5","1931","1931","R","","1","","","","0.1","","Norwich E November 19",""
"Italy","Italy","Lira (1861-2001)","0.05","KM# 73","N# 4005","5 Centesimi - Vittorio Emanuele III","Standard circulation coin","1936-1939","Round","Copper","3.25","19.5","1936","1936","R","XIV   rare","1","","","","1","","Norwich August 19","ITL-08"
"Italy","Italy","Lira (1861-2001)","0.1","KM# 11","N# 726","10 Centesimi - Vittorio Emanuele II","Standard circulation coin","1862-1867","Round","Bronze (Cu 96%, Sn 4%)","10","30","1863","1863","","KM#11.2","1","","","","4","","Hay-on-Wye June 19","ITL-02 a"
"Italy","Italy","Lira (1861-2001)","0.1","KM# 11","N# 726","10 Centesimi - Vittorio Emanuele II","Standard circulation coin","1862-1867","Round","Bronze (Cu 96%, Sn 4%)","10","30","1866","1866","N","KM#11.4","1","","","","","","Cape Town 18 B","ITL-03 a"
"Italy","Italy","Lira (1861-2001)","0.1","KM# 11","N# 726","10 Centesimi - Vittorio Emanuele II","Standard circulation coin","1862-1867","Round","Bronze (Cu 96%, Sn 4%)","10","30","1867","1867","OM","KM#11.5","1","","","","0.1","","Norwich E February 22",""
"Italy","Italy","Lira (1861-2001)","0.1","KM# 60","N# 1960","10 Centesimi - Vittorio Emanuele III","Standard circulation coin","1919-1937","Round","Copper","5.34","22.5","1922","1922","R","","1","","","","0.06","","Ebay December 19","x"
"Italy","Italy","Lira (1861-2001)","0.1","KM# 60","N# 1960","10 Centesimi - Vittorio Emanuele III","Standard circulation coin","1919-1937","Round","Copper","5.34","22.5","1924","1924","R","","1","","","","0.1","","Norwich October 19",""
"Italy","Italy","Lira (1861-2001)","0.1","KM# 74","N# 9173","10 Centesimi - Vittorio Emanuele III","Standard circulation coin","1936-1943","Round","Copper","5.4","22.5","1936","1936","R","XIV; uncommon","1","","","","0.06","","Ebay December 19","x"
"Italy","Italy","Lira (1861-2001)","0.1","KM# 74a","N# 2279","10 Centesimi - Vittorio Emanuele III","Standard circulation coin","1939-1943","Round","Bronzital","4.9","22.5","1940","1940","R","XVIII","1","","","","0.1","","Norwich October 19",""
"Italy","Italy","Lira (1861-2001)","0.2","KM# 28.1","N# 2394","20 Centesimi - Umberto I","Standard circulation coin","1894-1895","Round","Copper-nickel","4","21","1894","1894","K·B","KM#28.1","1","","","","0.99","","Ebay August 19","ITL-09"
"Italy","Italy","Lira (1861-2001)","0.2","KM# 28.1","N# 2394","20 Centesimi - Umberto I","Standard circulation coin","1894-1895","Round","Copper-nickel","4","21","1894","1894","R","KM#28.2","1","","","","0.08","","Norwich August 19","ITL-10"
"Italy","Italy","Lira (1861-2001)","0.2","KM# 44","N# 1958","20 Centesimi - Vittorio Emanuele III","Standard circulation coin","1908-1935","Round","Nickel","4","21.5","1910","1910","R","","1","","","","0.5","","Ebay September 19","ITL-16"
"Italy","Italy","Lira (1861-2001)","0.2","KM# 44","N# 1958","20 Centesimi - Vittorio Emanuele III","Standard circulation coin","1908-1935","Round","Nickel","4","21.5","1913","1913","R","","1","","","","1","","Norwich August 19","ITL-11"
"Italy","Italy","Lira (1861-2001)","0.2","KM# 44","N# 1958","20 Centesimi - Vittorio Emanuele III","Standard circulation coin","1908-1935","Round","Nickel","4","21.5","1920","1920","R","","1","","","","0.5","","Ebay September 19","ITL-17"
"Italy","Italy","Lira (1861-2001)","0.2","KM# 44","N# 1958","20 Centesimi - Vittorio Emanuele III","Standard circulation coin","1908-1935","Round","Nickel","4","21.5","1921","1921","R","","1","","","","0.1","","Norwich E November 19",""
"Italy","Italy","Lira (1861-2001)","0.2","KM# 58","N# 2276","20 Centesimi - Vittorio Emanuele III","Standard circulation coin","1918-1920","Round","Copper-nickel","3.9","21.3","1918","1918","R","smooth edge","1","","","","1","","Norwich August 19","ITL-12"
"Italy","Italy","Lira (1861-2001)","0.2","KM# 58","N# 2276","20 Centesimi - Vittorio Emanuele III","Standard circulation coin","1918-1920","Round","Copper-nickel","3.9","21.3","1919","1919","R","smooth edge","1","","","","1","","Norwich August 19","ITL-13"
"Italy","Italy","Lira (1861-2001)","0.2","KM# 75b","N# 1959","20 Centesimi - Vittorio Emanuele III (magnetic; reeded edge)","Standard circulation coin","1939-1943","Round","Acmonital (ferritic)","4","21.7","1940","1940","R","XVIII","1","","","","0.1","","Norwich E November 19",""
"Italy","Italy","Lira (1861-2001)","0.2","KM# 75b","N# 1959","20 Centesimi - Vittorio Emanuele III (magnetic; reeded edge)","Standard circulation coin","1939-1943","Round","Acmonital (ferritic)","4","21.7","1941","1941","R","XIX","1","","","","1","","Norwich September 19","ITL-18"
"Italy","Italy","Lira (1861-2001)","0.2","KM# 75b","N# 1959","20 Centesimi - Vittorio Emanuele III (magnetic; reeded edge)","Standard circulation coin","1939-1943","Round","Acmonital (ferritic)","4","21.7","1941","1941","R","XIX","1","","","","0.1","","Norwich E November 19",""
"Italy","Italy","Lira (1861-2001)","0.5","KM# 61","N# 2395","50 Centesimi - Vittorio Emanuele III","Standard circulation coin","1919-1935","Round","Nickel","5.5","23.9","1925","1925","R","KM#61.2 (reeded edge)","1","","","","0.06","","Ebay December 19","x"
"Italy","Italy","Lira (1861-2001)","0.5","KM# 76b","N# 2278","50 Centesimi - Vittorio Emanuele III (magnetic)","Standard circulation coin","1939-1943","Round","Acmonital (ferritic)","6","24.1","1939","1939","R","XVII; Shares mintage with 1939 XVII KM#76a","1","","","","0.01","","Norwich D January 20",""
"Italy","Italy","Lira (1861-2001)","0.5","KM# 76b","N# 2278","50 Centesimi - Vittorio Emanuele III (magnetic)","Standard circulation coin","1939-1943","Round","Acmonital (ferritic)","6","24.1","1940","1940","R","XVIII; Shares mintage with 1940 XVIII KM#76a","1","","","","0.1","","Norwich September 19","ITL-19"
"Italy","Italy","Lira (1861-2001)","0.5","KM# 76b","N# 2278","50 Centesimi - Vittorio Emanuele III (magnetic)","Standard circulation coin","1939-1943","Round","Acmonital (ferritic)","6","24.1","1940","1940","R","XVIII; Shares mintage with 1940 XVIII KM#76a","1","","","","0.1","","Norwich E November 19",""
"Italy","Italy","Lira (1861-2001)","1","KM# 5a","N# 7216","1 Lira - Vittorio Emanuele II","Standard circulation coin","1863-1867","Round","Silver (.835)","5","23","1863","1863","M BN","KM#5a.1; Mintage shared with 1863 M BN KM# 15","1","","","","1","","Norwich E August 20",""
"Italy","Italy","Lira (1861-2001)","1","KM# 62","N# 2595","1 Lira - Vittorio Emanuele III","Standard circulation coin","1922-1935","Round","Nickel","8","26.5","1922","1922","R","","1","","","","1","","Ebay July 19","ITA-04 a"
"Italy","Italy","Lira (1861-2001)","1","KM# 62","N# 2595","1 Lira - Vittorio Emanuele III","Standard circulation coin","1922-1935","Round","Nickel","8","26.5","1924","1924","R","closed ""2""","1","","","","0.01","","Norwich D January 20",""
"Italy","Italy","Lira (1861-2001)","1","KM# 77a","N# 3811","1 Lira - Vittorio Emanuele III (non-magnetic)","Standard circulation coin","1939-1940","Round","Acmonital (austenitic)","8","26.7","1940","1940","R","XVIII; Shares mintage with 1940 XVIII KM# 77b","1","","","","","","Bath C July 19","ITL-05 a"
"Italy","Italy","Lira (1861-2001)","1","KM# 77b","N# 7928","1 Lira - Vittorio Emanuele III (magnetic)","Standard circulation coin","1939-1943","Round","Acmonital (Ferritic)","7.9","26.7","1941","1941","R","XIX","1","","","","1","","Norwich August 19","ITL-14"
"Italy","Italy","Lira (1861-2001)","2","KM# 63","N# 2682","2 Lire - Vittorio Emanuele III (Buono)","Standard circulation coin","1923-1935","Round","Nickel","10","29","1924","1924","R","","1","","","","0.5","","Wayne CB2 March 22",""
"Italy","Italy","Lira (1861-2001)","5","KM# 67","N# 4047","5 Lire - Vittorio Emanuele III","Standard circulation coin","1926-1935","Round","Silver (.835)","5","23","1927","1927","R","KM#67.1","1","","","","2.5","","Norwich October 19",""
"Italy","Italy","Lira (1861-2001)","5","KM# 92","N# 730","5 Lire","Standard circulation coin","1951-2001","Round","Aluminium","1","20.2","1953","1953","R","","1","","","","0.06","","Ebay December 19","x"
"Italy","Italy","Lira (1861-2001)","10","KM# 90","N# 2396","10 Lire","Standard circulation coin","1946-1950","Round","Aluminium","3","29","1949","1949","R","Second coinage","1","","","","2","","Ebay July 19","ITL-07 a"
"Italy","Italy","Lira (1861-2001)","10","KM# 93","N# 728","10 Lire","Standard circulation coin","1951-2001","Round","Aluminium","1.6","23.25","1955","1955","R","","1","","","","0.08","","Norwich August 19","ITL-15"
"Italy","Italy","Lira (1861-2001)","20","KM# 97","N# 1113","20 Lire","Standard circulation coin","1957-2001","Round","Bronzital","3.6","21.25","1972","1972","R","KM#97.2 (smooth edge)","1","","","","0.04","","Ebay B January 20",""
"Italy","Italy","Lira (1861-2001)","50","KM# 95.1","N# 724","50 Lire (large type)","Standard circulation coin","1954-1989","Round","Acmonital","6.25","24.8","1954","1954","R","","1","","","","0.08","","Norwich M November 19",""
"Italy","Italy","Lira (1861-2001)","50","KM# 95.1","N# 724","50 Lire (large type)","Standard circulation coin","1954-1989","Round","Acmonital","6.25","24.8","1965","1965","R","","1","","","","0.1","","Norwich E November 19",""
"Italy","Italy","Lira (1861-2001)","50","KM# 95.1","N# 724","50 Lire (large type)","Standard circulation coin","1954-1989","Round","Acmonital","6.25","24.8","1980","1980","R","","1","","","","0.04","","Ebay B January 20",""
"Italy","Italy","Lira (1861-2001)","50","KM# 95.2","N# 725","50 Lire (small type)","Standard circulation coin","1990-1995","Round","Stainless steel","2.7","17","1995","1995","R","Type D (large ear, big diamond; signature ""GIAMPAOLI INC·"" with thin less readable dot after letters)","1","","","","0.04","","Ebay B January 20",""
"Italy","Italy","Lira (1861-2001)","100","KM# 96.1","N# 304","100 Lire (large type)","Standard circulation coin","1955-1989","Round","Stainless steel","8","27.8","1957","1957","R","","1","","","","0.08","","Norwich M November 19",""
"Italy","Italy","Lira (1861-2001)","100","KM# 96.1","N# 304","100 Lire (large type)","Standard circulation coin","1955-1989","Round","Stainless steel","8","27.8","1980","1980","R","","1","","","","0.04","","Ebay B January 20",""
"Italy","Italy","Lira (1861-2001)","100","KM# 159","N# 722","100 Lire","Standard circulation coin","1993-2001","Round","Copper-nickel","4.5","22","1996","1996","R","","1","","","","0.06","","Ebay December 19","x"
"Italy","Italy","Lira (1861-2001)","200","KM# 105","N# 303","200 Lire","Standard circulation coin","1977-2001","Round","Aluminium-bronze","5","24","1978","1978","R","See comments","1","","","","0.25","","Norwich G February 20",""
"Italy","Italy","Lira (1861-2001)","500","KM# 111","N# 302","500 Lire","Standard circulation coin","1982-2001","Round","Bimetallic: bronzital centre in acmonital ring","6.8","25.8","1991","1991","R","small head, uncommon","1","","","","0.04","","Ebay B January 20",""
"Jamaica","Jamaica","Pound (1840-1969)","0.004166666666667","KM# 26","N# 9990","1 Penny - George V","Standard circulation coin","1914-1928","Round","Copper-nickel","9.2","30.9","1919","1919","C","","1","","","","3","","Ebay May 19","JAM-01 a"
"Jamaica","Jamaica","Pound (1840-1969)","0.004166666666667","KM# 32","N# 3602","1 Penny - George VI (With KING AND EMPEROR; large head)","Standard circulation coin","1938-1947","Round","Nickel brass","7.4","27","1947","1947","","","1","","","","1","","Norwich August 19","JAM-03"
"Jamaica","Jamaica","Pound (1840-1969)","0.004166666666667","KM# 37","N# 1151","1 Penny - Elizabeth II (Arms without supporters)","Standard circulation coin","1953-1963","Round","Nickel brass","7.48","27","1958","1958","","","1","","","","4","","Hay-on-Wye June 19","JAM-02 a"
"Jamaica","Jamaica","Dollar (1969-date)","0.1","KM# 47","N# 934","10 Cents (Wide legend; non-magnetic)","Standard circulation coin","1969-1989","Round","Copper-nickel","5.75","23.6","1969","1969","","","1","","","","0.1","","Norwich E January 19",""
"Jamaica","Jamaica","Dollar (1969-date)","1","KM# 164","N# 1078","1 Dollar (Heptagonal)","Standard circulation coin","1994-2008","Equilaterally curved heptagon (7-sided)","Nickel plated steel","2.9","18.5","1996","1996","","","1","","","","0.04","","Ebay B January 20",""
"Jamaica","Jamaica","Dollar (1969-date)","1","KM# 189","N# 14369","1 Dollar (Round)","Standard circulation coin","2008-2020","Round","Nickel clad steel","2.9","18.5","2015","2015","","","1","","","","0.04","","Ebay B January 20",""
